epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,6792.28,0.66552,3.18344,0.20251,0.41413,1.08935,0.97332,0.9749,0.99079,0.89803,0.84179,0.81967,0.83665,0.68354,0.54863,2.07102,0.0412,0.28393,0.97503,0.00536081,0.00536081,0.00536081
50,6931.56,0.65988,3.17368,0.20125,0.40837,1.08681,0.9742,0.9749,0.99085,0.89855,0.84527,0.82281,0.8392,0.68516,0.54695,2.05584,0.04097,0.28236,0.97399,0.00520548,0.00520548,0.00520548
51,7070.99,0.65963,3.17227,0.20194,0.41093,1.08632,0.97254,0.97567,0.99083,0.89888,0.8464,0.82504,0.84073,0.68596,0.54503,2.0454,0.04079,0.28192,0.97237,0.00505,0.00505,0.00505
52,7210.08,0.65708,3.11234,0.19951,0.40577,1.0861,0.97281,0.97606,0.99088,0.8994,0.84727,0.82418,0.84199,0.68789,0.54306,2.03593,0.04078,0.28107,0.97071,0.00489452,0.00489452,0.00489452
53,7349.39,0.65744,3.0831,0.19668,0.40933,1.0847,0.97328,0.97499,0.99088,0.89981,0.84789,0.82505,0.8438,0.69014,0.54228,2.02907,0.04084,0.28074,0.97017,0.00473919,0.00473919,0.00473919
54,7488.68,0.64921,3.04441,0.19713,0.40428,1.08135,0.97254,0.97528,0.99087,0.89976,0.84829,0.82639,0.84533,0.69148,0.54178,2.02207,0.04067,0.28,0.96974,0.00458416,0.00458416,0.00458416
55,7628.36,0.65025,3.04946,0.19738,0.40553,1.08229,0.97234,0.97579,0.99089,0.90028,0.84694,0.82697,0.84544,0.69248,0.54086,2.01937,0.04021,0.27938,0.96922,0.0044296,0.0044296,0.0044296
56,7777.13,0.64744,3.00556,0.19448,0.39998,1.07893,0.97265,0.97554,0.99095,0.88114,0.84819,0.82774,0.81756,0.64913,0.53992,2.01499,0.04001,1.34186,0.9684,0.00427565,0.00427565,0.00427565
57,7937.12,0.6431,2.98146,0.19495,0.39903,1.07825,0.00206,0.58955,0.00166,0.00154,0.00197,0.55763,0.00155,0.0013,0.53953,2.00736,0.03998,inf,0.96843,0.00412246,0.00412246,0.00412246
58,8106.1,0.64225,2.95765,0.19313,0.39483,1.07545,0.00206,0.58955,0.00166,0.00154,0.00197,0.55763,0.00155,0.0013,0.53931,2.0012,0.03995,inf,0.96891,0.00397019,0.00397019,0.00397019
59,8265.88,0.63431,2.93778,0.19304,0.3938,1.07389,0,0.00013,0,0,0,0,0,0,0.53815,1.99672,0.03981,inf,0.96817,0.00381899,0.00381899,0.00381899
60,8424.29,0.63213,2.91466,0.1911,0.38909,1.07188,0,0.00013,0,0,0,0,0,0,0.53728,1.99089,0.03974,inf,0.96751,0.00366899,0.00366899,0.00366899
61,8584.35,0.63487,2.88672,0.19194,0.39132,1.07328,0,0.00013,0,0,0,0,0,0,0.53638,1.9865,0.0396,inf,0.96692,0.00352037,0.00352037,0.00352037
62,8747.16,0.62584,2.86839,0.19022,0.38561,1.06861,0,0.00013,0,0,0,0,0,0,0.53574,1.98228,0.03947,inf,0.9665,0.00337325,0.00337325,0.00337325
63,8905.62,0.62722,2.85583,0.18924,0.38624,1.06933,0,0.00013,0,0,0,0,0,0,0.53502,1.97749,0.03938,inf,0.96594,0.00322778,0.00322778,0.00322778
64,9063.61,0.62093,2.82049,0.18898,0.38095,1.0681,0,0.00013,0,0,0,0,0,0,0.53444,1.97355,0.03933,inf,0.9655,0.00308412,0.00308412,0.00308412
65,9226.59,0.61982,2.82354,0.18798,0.37968,1.06721,0,0.00013,0,0,0,0,0,0,0.53386,1.9716,0.03923,inf,0.96504,0.00294239,0.00294239,0.00294239
66,9389.27,0.62018,2.794,0.1884,0.3808,1.06753,0,0.00013,0,0,0,0,0,0,0.53336,1.96782,0.03915,inf,0.9648,0.00280275,0.00280275,0.00280275
67,9548.81,0.61383,2.76225,0.18718,0.37707,1.06514,0,0.00013,0,0,0,0,0,0,0.53277,1.96416,0.03911,inf,0.9643,0.00266532,0.00266532,0.00266532
68,9707.04,0.61297,2.73137,0.18496,0.37619,1.06363,0,0.00013,0,0,0,0,0,0,0.53214,1.96037,0.0391,inf,0.9639,0.00253024,0.00253024,0.00253024
69,9872.4,0.60547,2.73302,0.18603,0.37122,1.05985,0,0.00013,0,0,0,0,0,0,0.53166,1.95587,0.03905,inf,0.9636,0.00239766,0.00239766,0.00239766
70,10034.7,0.60647,2.70253,0.18507,0.37214,1.05993,0,0.00013,0,0,0,0,0,0,0.53118,1.95151,0.03895,inf,0.96326,0.00226769,0.00226769,0.00226769
71,10198,0.60299,2.69743,0.18581,0.36915,1.0591,0,0.00013,0,0,0,0,0,0,0.53057,1.94783,0.03889,inf,0.96277,0.00214046,0.00214046,0.00214046
72,10357.6,0.60364,2.69836,0.183,0.37155,1.05703,0,0.00013,0,0,0,0,0,0,0.53016,1.94397,0.0388,inf,0.96257,0.00201611,0.00201611,0.00201611
73,10522.4,0.60434,2.66911,0.18257,0.36847,1.05649,0,0.00013,0,0,0,0,0,0,0.52977,1.94125,0.03869,inf,0.96222,0.00189475,0.00189475,0.00189475
74,10684,0.59927,2.66317,0.18395,0.36549,1.05587,0,0.00013,0,0,0,0,0,0,0.52935,1.93775,0.03865,inf,0.96191,0.00177651,0.00177651,0.00177651
75,10843.7,0.59998,2.65089,0.18258,0.36685,1.05671,0,0.00013,0,0,0,0,0,0,0.52893,1.93483,0.03865,inf,0.96145,0.00166149,0.00166149,0.00166149
76,11007.8,0.59483,2.60616,0.18014,0.36442,1.05326,0,0.00013,0,0,0,0,0,0,0.52846,1.93204,0.03866,inf,0.96116,0.00154982,0.00154982,0.00154982
77,11172.7,0.59586,2.6102,0.18202,0.36528,1.05527,0,0.00013,0,0,0,0,0,0,0.52798,1.92979,0.03865,inf,0.96081,0.00144161,0.00144161,0.00144161
